hour, t(sec), S1 (kVA), Ang1, S2 (kVA), Ang2
0, 1.00000, 2000, -179.991, 0, 0
0, 0.00000, 2000.06, 179.993, 0, 0
0, 0.00000, 2000.06, 179.993, 0, 0
0, 0.00101, 1999.98, -179.999, 0, 0
0, 0.00101, 1999.98, -179.999, 0, 0
0, 0.00201, 2000.01, 180, 0, 0
0, 0.00201, 2000.01, 180, 0, 0
0, 0.00301, 2000, -180, 0, 0
0, 0.00301, 2000, -180, 0, 0
0, 0.00401, 2000, -180, 0, 0
0, 0.00401, 2000, -180, 0, 0
0, 0.00501, 2000, 180, 0, 0
0, 0.00501, 2000, 180, 0, 0
0, 0.00601, 2000, -180, 0, 0
0, 0.00601, 2000, -180, 0, 0
0, 0.00701, 2000, 180, 0, 0
0, 0.00701, 2000, 180, 0, 0
0, 0.00801, 2000, -180, 0, 0
0, 0.00801, 2000, -180, 0, 0
0, 0.00901, 2000, 180, 0, 0
0, 0.00901, 2000, 180, 0, 0
0, 0.01001, 2000, -180, 0, 0
0, 0.01001, 2000, -180, 0, 0
0, 0.01101, 2000, 180, 0, 0
0, 0.01101, 2000, 180, 0, 0
0, 0.01201, 2000, -180, 0, 0
0, 0.01201, 2000, -180, 0, 0
0, 0.01301, 2000, 180, 0, 0
0, 0.01301, 2000, 180, 0, 0
0, 0.01401, 2000, -180, 0, 0
0, 0.01401, 2000, -180, 0, 0
0, 0.01501, 2000, 180, 0, 0
0, 0.01501, 2000, 180, 0, 0
0, 0.01601, 2000, -180, 0, 0
0, 0.01601, 2000, -180, 0, 0
0, 0.01701, 2000, 180, 0, 0
0, 0.01701, 2000, 180, 0, 0
0, 0.01801, 2000, -180, 0, 0
0, 0.01801, 2000, -180, 0, 0
0, 0.01901, 2000, 180, 0, 0
0, 0.01901, 2000, 180, 0, 0
0, 0.02001, 2000, -180, 0, 0
0, 0.02001, 2000, -180, 0, 0
0, 0.02000, 2000, 180, 0, 0
0, 0.02101, 871.901, -179.995, 0, 0
0, 0.02101, 871.901, -179.995, 0, 0
0, 0.02201, 871.86, 179.998, 0, 0
0, 0.02201, 871.86, 179.998, 0, 0
0, 0.02301, 871.859, -179.999, 0, 0
0, 0.02301, 871.859, -179.999, 0, 0
0, 0.02401, 871.863, 180, 0, 0
0, 0.02401, 871.863, 180, 0, 0
0, 0.02501, 871.862, -180, 0, 0
0, 0.02501, 871.862, -180, 0, 0
0, 0.02601, 871.862, -180, 0, 0
0, 0.02601, 871.862, -180, 0, 0
0, 0.02701, 871.862, 180, 0, 0
0, 0.02701, 871.862, 180, 0, 0
0, 0.02801, 871.861, -180, 0, 0
0, 0.02801, 871.861, -180, 0, 0
0, 0.02901, 871.862, 180, 0, 0
0, 0.02901, 871.862, 180, 0, 0
0, 0.03001, 871.862, -180, 0, 0
0, 0.03001, 871.862, -180, 0, 0
0, 0.03101, 871.862, -180, 0, 0
0, 0.03101, 871.862, -180, 0, 0
0, 0.03201, 871.861, -180, 0, 0
0, 0.03201, 871.861, -180, 0, 0
0, 0.03301, 871.862, 180, 0, 0
0, 0.03301, 871.862, 180, 0, 0
0, 0.03401, 871.862, -180, 0, 0
0, 0.03401, 871.862, -180, 0, 0
0, 0.03501, 871.862, -180, 0, 0
0, 0.03501, 871.862, -180, 0, 0
0, 0.03601, 871.862, -180, 0, 0
0, 0.03601, 871.862, -180, 0, 0
0, 0.03701, 871.862, 180, 0, 0
0, 0.03701, 871.862, 180, 0, 0
0, 0.03801, 871.862, -180, 0, 0
0, 0.03801, 871.862, -180, 0, 0
0, 0.03901, 871.862, -180, 0, 0
0, 0.03901, 871.862, -180, 0, 0
0, 0.04001, 871.863, 180, 0, 0
0, 0.04001, 871.863, 180, 0, 0
0, 0.04101, 871.862, -180, 0, 0
0, 0.04101, 871.862, -180, 0, 0
0, 0.04201, 871.862, 180, 0, 0
0, 0.04201, 871.862, 180, 0, 0
0, 0.04301, 871.862, 180, 0, 0
0, 0.04301, 871.862, 180, 0, 0
0, 0.04401, 871.864, 180, 0, 0
0, 0.04401, 871.864, 180, 0, 0
0, 0.04501, 871.862, -180, 0, 0
0, 0.04501, 871.862, -180, 0, 0
0, 0.04601, 871.862, 180, 0, 0
0, 0.04601, 871.862, 180, 0, 0
0, 0.04701, 871.862, 180, 0, 0
0, 0.04701, 871.862, 180, 0, 0
0, 0.04801, 871.864, 180, 0, 0
0, 0.04801, 871.864, 180, 0, 0
0, 0.04901, 871.862, -180, 0, 0
0, 0.04901, 871.862, -180, 0, 0
0, 0.05001, 871.862, 180, 0, 0
0, 0.05001, 871.862, 180, 0, 0
0, 0.05101, 871.862, 180, 0, 0
0, 0.05101, 871.862, 180, 0, 0
0, 0.05201, 871.865, 180, 0, 0
0, 0.05201, 871.865, 180, 0, 0
0, 0.05301, 871.862, -180, 0, 0
0, 0.05301, 871.862, -180, 0, 0
0, 0.05401, 871.862, 180, 0, 0
0, 0.05401, 871.862, 180, 0, 0
0, 0.05501, 871.862, 180, 0, 0
0, 0.05501, 871.862, 180, 0, 0
0, 0.05601, 871.866, 180, 0, 0
0, 0.05601, 871.866, 180, 0, 0
0, 0.05701, 871.862, -180, 0, 0
0, 0.05701, 871.862, -180, 0, 0
0, 0.05801, 871.862, 180, 0, 0
0, 0.05801, 871.862, 180, 0, 0
0, 0.05901, 871.862, 180, 0, 0
0, 0.05901, 871.862, 180, 0, 0
0, 0.06001, 871.867, 180, 0, 0
0, 0.06001, 871.867, 180, 0, 0
0, 0.06101, 871.862, -180, 0, 0
0, 0.06101, 871.862, -180, 0, 0
0, 0.06201, 871.862, 180, 0, 0
0, 0.06201, 871.862, 180, 0, 0
0, 0.06301, 871.862, 180, 0, 0
0, 0.06301, 871.862, 180, 0, 0
0, 0.06401, 871.867, 180, 0, 0
0, 0.06401, 871.867, 180, 0, 0
0, 0.06501, 871.862, -180, 0, 0
0, 0.06501, 871.862, -180, 0, 0
0, 0.06601, 871.862, 180, 0, 0
