hour, t(sec), S1 (kVA), Ang1, S2 (kVA), Ang2
0, 0.07101, 831.895, -180, 0, 0
0, 0.07101, 831.895, -180, 0, 0
0, 0.07201, 831.899, 179.999, 0, 0
0, 0.07201, 831.899, 179.999, 0, 0
0, 0.07301, 831.896, -180, 0, 0
0, 0.07301, 831.896, -180, 0, 0
0, 0.07401, 831.895, 180, 0, 0
0, 0.07401, 831.895, 180, 0, 0
0, 0.07501, 831.895, -180, 0, 0
0, 0.07501, 831.895, -180, 0, 0
0, 0.07601, 831.899, 179.999, 0, 0
0, 0.07601, 831.899, 179.999, 0, 0
0, 0.07701, 831.896, -180, 0, 0
0, 0.07701, 831.896, -180, 0, 0
0, 0.07801, 831.895, 180, 0, 0
0, 0.07801, 831.895, 180, 0, 0
0, 0.07901, 831.895, -180, 0, 0
0, 0.07901, 831.895, -180, 0, 0
0, 0.08001, 831.9, 179.999, 0, 0
0, 0.08001, 831.9, 179.999, 0, 0
0, 0.08101, 831.896, -180, 0, 0
0, 0.08101, 831.896, -180, 0, 0
0, 0.08201, 831.895, 180, 0, 0
0, 0.08201, 831.895, 180, 0, 0
0, 0.08301, 831.895, -180, 0, 0
0, 0.08301, 831.895, -180, 0, 0
0, 0.08401, 831.9, 179.999, 0, 0
0, 0.08401, 831.9, 179.999, 0, 0
0, 0.08501, 831.896, -180, 0, 0
0, 0.08501, 831.896, -180, 0, 0
0, 0.08601, 831.895, 180, 0, 0
0, 0.08601, 831.895, 180, 0, 0
0, 0.08701, 831.895, -180, 0, 0
0, 0.08701, 831.895, -180, 0, 0
0, 0.08801, 831.9, 179.999, 0, 0
0, 0.08801, 831.9, 179.999, 0, 0
0, 0.08901, 831.896, -180, 0, 0
0, 0.08901, 831.896, -180, 0, 0
0, 0.09001, 831.895, 180, 0, 0
0, 0.09001, 831.895, 180, 0, 0
0, 0.09101, 831.895, -180, 0, 0
0, 0.09101, 831.895, -180, 0, 0
0, 0.09201, 831.9, 179.999, 0, 0
0, 0.09201, 831.9, 179.999, 0, 0
0, 0.09301, 831.896, -180, 0, 0
0, 0.09301, 831.896, -180, 0, 0
0, 0.09401, 831.895, 180, 0, 0
0, 0.09401, 831.895, 180, 0, 0
0, 0.09501, 831.895, -180, 0, 0
0, 0.09501, 831.895, -180, 0, 0
0, 0.09601, 831.899, 179.999, 0, 0
0, 0.09601, 831.899, 179.999, 0, 0
0, 0.09701, 831.896, -180, 0, 0
0, 0.09701, 831.896, -180, 0, 0
0, 0.09801, 831.895, 180, 0, 0
0, 0.09801, 831.895, 180, 0, 0
0, 0.09901, 831.895, -180, 0, 0
0, 0.09901, 831.895, -180, 0, 0
0, 0.10001, 831.899, 179.999, 0, 0
0, 0.10001, 831.899, 179.999, 0, 0
0, 0.10101, 831.896, -180, 0, 0
0, 0.10101, 831.896, -180, 0, 0
0, 0.10201, 831.895, 180, 0, 0
0, 0.10201, 831.895, 180, 0, 0
0, 0.10301, 831.895, -180, 0, 0
0, 0.10301, 831.895, -180, 0, 0
0, 0.10401, 831.899, 179.999, 0, 0
0, 0.10401, 831.899, 179.999, 0, 0
0, 0.10501, 831.896, -180, 0, 0
0, 0.10501, 831.896, -180, 0, 0
0, 0.10601, 831.895, 180, 0, 0
0, 0.10601, 831.895, 180, 0, 0
0, 0.10701, 831.895, -180, 0, 0
0, 0.10701, 831.895, -180, 0, 0
0, 0.10801, 831.899, 179.999, 0, 0
0, 0.10801, 831.899, 179.999, 0, 0
0, 0.10901, 831.896, -180, 0, 0
0, 0.10901, 831.896, -180, 0, 0
0, 0.11001, 831.895, 180, 0, 0
0, 0.11001, 831.895, 180, 0, 0
0, 0.11000, 831.895, -180, 0, 0
0, 0.11000, 831.895, -180, 0, 0
0, 0.11101, 831.895, 180, 0, 0
0, 0.11101, 831.895, 180, 0, 0
0, 0.11201, 831.899, 179.999, 0, 0
0, 0.11201, 831.899, 179.999, 0, 0
0, 0.11301, 831.896, -180, 0, 0
0, 0.11301, 831.896, -180, 0, 0
0, 0.11401, 831.895, 180, 0, 0
0, 0.11401, 831.895, 180, 0, 0
0, 0.11501, 831.895, -180, 0, 0
0, 0.11501, 831.895, -180, 0, 0
0, 0.11601, 831.898, 180, 0, 0
0, 0.11601, 831.898, 180, 0, 0
0, 0.11701, 831.896, -180, 0, 0
0, 0.11701, 831.896, -180, 0, 0
0, 0.11801, 831.895, 180, 0, 0
0, 0.11801, 831.895, 180, 0, 0
0, 0.11901, 831.895, -180, 0, 0
0, 0.11901, 831.895, -180, 0, 0
0, 0.12001, 831.898, 180, 0, 0
0, 0.12001, 831.898, 180, 0, 0
0, 0.12101, 831.896, -180, 0, 0
0, 0.12101, 831.896, -180, 0, 0
0, 0.12201, 831.895, 180, 0, 0
0, 0.12201, 831.895, 180, 0, 0
0, 0.12301, 831.895, -180, 0, 0
0, 0.12301, 831.895, -180, 0, 0
0, 0.12401, 831.898, 180, 0, 0
0, 0.12401, 831.898, 180, 0, 0
0, 0.12501, 831.896, -180, 0, 0
0, 0.12501, 831.896, -180, 0, 0
0, 0.12601, 831.895, 180, 0, 0
0, 0.12601, 831.895, 180, 0, 0
