hour, t(sec), S1 (kVA), Ang1, S2 (kVA), Ang2
0, 1.00000, 1999.85, 179.995, 0, 0
0, 0.00000, 2000.1, -179.993, 0, 0
0, 0.00000, 2000.1, -179.993, 0, 0
0, 0.00101, 1999.99, 179.998, 0, 0
0, 0.00101, 1999.99, 179.998, 0, 0
0, 0.00201, 2000, -180, 0, 0
0, 0.00201, 2000, -180, 0, 0
0, 0.00301, 2000, 180, 0, 0
0, 0.00301, 2000, 180, 0, 0
0, 0.00401, 2000, -180, 0, 0
0, 0.00401, 2000, -180, 0, 0
0, 0.00501, 2000, -180, 0, 0
0, 0.00501, 2000, -180, 0, 0
0, 0.00601, 2000, 180, 0, 0
0, 0.00601, 2000, 180, 0, 0
0, 0.00701, 2000, -180, 0, 0
0, 0.00701, 2000, -180, 0, 0
0, 0.00801, 2000, -180, 0, 0
0, 0.00801, 2000, -180, 0, 0
0, 0.00901, 2000, -180, 0, 0
0, 0.00901, 2000, -180, 0, 0
0, 0.01001, 2000, 180, 0, 0
0, 0.01001, 2000, 180, 0, 0
0, 0.01101, 2000, -180, 0, 0
0, 0.01101, 2000, -180, 0, 0
0, 0.01201, 2000, -180, 0, 0
0, 0.01201, 2000, -180, 0, 0
0, 0.01301, 2000, -180, 0, 0
0, 0.01301, 2000, -180, 0, 0
0, 0.01401, 2000, 180, 0, 0
0, 0.01401, 2000, 180, 0, 0
0, 0.01501, 2000, -180, 0, 0
0, 0.01501, 2000, -180, 0, 0
0, 0.01601, 2000, -180, 0, 0
0, 0.01601, 2000, -180, 0, 0
0, 0.01701, 2000, -180, 0, 0
0, 0.01701, 2000, -180, 0, 0
0, 0.01801, 2000, 180, 0, 0
0, 0.01801, 2000, 180, 0, 0
0, 0.01901, 2000, -180, 0, 0
0, 0.01901, 2000, -180, 0, 0
0, 0.02001, 2000, -180, 0, 0
0, 0.02001, 2000, -180, 0, 0
0, 0.02000, 2000, -180, 0, 0
0, 0.02101, 618.828, -180, 0, 0
0, 0.02101, 618.828, -180, 0, 0
0, 0.02201, 618.903, -179.999, 0, 0
0, 0.02201, 618.903, -179.999, 0, 0
0, 0.02301, 618.882, 179.999, 0, 0
0, 0.02301, 618.882, 179.999, 0, 0
0, 0.02401, 618.885, -180, 0, 0
0, 0.02401, 618.885, -180, 0, 0
0, 0.02501, 618.886, 180, 0, 0
0, 0.02501, 618.886, 180, 0, 0
0, 0.02601, 618.886, -180, 0, 0
0, 0.02601, 618.886, -180, 0, 0
0, 0.02701, 618.886, 180, 0, 0
0, 0.02701, 618.886, 180, 0, 0
0, 0.02801, 618.885, -180, 0, 0
0, 0.02801, 618.885, -180, 0, 0
0, 0.02901, 618.886, -180, 0, 0
0, 0.02901, 618.886, -180, 0, 0
0, 0.03001, 618.886, 180, 0, 0
0, 0.03001, 618.886, 180, 0, 0
0, 0.03101, 618.886, -180, 0, 0
0, 0.03101, 618.886, -180, 0, 0
0, 0.03201, 618.885, -180, 0, 0
0, 0.03201, 618.885, -180, 0, 0
0, 0.03301, 618.886, -180, 0, 0
0, 0.03301, 618.886, -180, 0, 0
0, 0.03401, 618.886, 180, 0, 0
0, 0.03401, 618.886, 180, 0, 0
0, 0.03501, 618.886, -180, 0, 0
0, 0.03501, 618.886, -180, 0, 0
0, 0.03601, 618.885, -180, 0, 0
0, 0.03601, 618.885, -180, 0, 0
0, 0.03701, 618.886, -180, 0, 0
0, 0.03701, 618.886, -180, 0, 0
0, 0.03801, 618.886, 180, 0, 0
0, 0.03801, 618.886, 180, 0, 0
0, 0.03901, 618.886, -180, 0, 0
0, 0.03901, 618.886, -180, 0, 0
0, 0.04001, 618.886, 180, 0, 0
0, 0.04001, 618.886, 180, 0, 0
0, 0.04101, 618.886, 180, 0, 0
0, 0.04101, 618.886, 180, 0, 0
0, 0.04201, 618.886, -180, 0, 0
0, 0.04201, 618.886, -180, 0, 0
0, 0.04301, 618.886, 180, 0, 0
0, 0.04301, 618.886, 180, 0, 0
0, 0.04401, 618.887, 180, 0, 0
0, 0.04401, 618.887, 180, 0, 0
0, 0.04501, 618.886, 180, 0, 0
0, 0.04501, 618.886, 180, 0, 0
0, 0.04601, 618.886, -180, 0, 0
0, 0.04601, 618.886, -180, 0, 0
0, 0.04701, 618.886, 180, 0, 0
0, 0.04701, 618.886, 180, 0, 0
0, 0.04801, 618.887, 180, 0, 0
0, 0.04801, 618.887, 180, 0, 0
0, 0.04901, 618.886, 180, 0, 0
0, 0.04901, 618.886, 180, 0, 0
0, 0.05001, 618.886, -180, 0, 0
0, 0.05001, 618.886, -180, 0, 0
0, 0.05101, 618.886, 180, 0, 0
0, 0.05101, 618.886, 180, 0, 0
0, 0.05201, 618.887, 180, 0, 0
0, 0.05201, 618.887, 180, 0, 0
0, 0.05301, 618.886, 180, 0, 0
0, 0.05301, 618.886, 180, 0, 0
0, 0.05401, 618.886, -180, 0, 0
0, 0.05401, 618.886, -180, 0, 0
0, 0.05501, 618.886, 180, 0, 0
0, 0.05501, 618.886, 180, 0, 0
0, 0.05601, 618.888, 180, 0, 0
0, 0.05601, 618.888, 180, 0, 0
0, 0.05701, 618.886, 180, 0, 0
0, 0.05701, 618.886, 180, 0, 0
0, 0.05801, 618.886, -180, 0, 0
0, 0.05801, 618.886, -180, 0, 0
0, 0.05901, 618.886, 180, 0, 0
0, 0.05901, 618.886, 180, 0, 0
0, 0.06001, 618.889, 180, 0, 0
0, 0.06001, 618.889, 180, 0, 0
0, 0.06101, 618.886, 180, 0, 0
0, 0.06101, 618.886, 180, 0, 0
0, 0.06201, 618.886, -180, 0, 0
0, 0.06201, 618.886, -180, 0, 0
0, 0.06301, 618.886, 180, 0, 0
0, 0.06301, 618.886, 180, 0, 0
0, 0.06401, 618.889, 180, 0, 0
0, 0.06401, 618.889, 180, 0, 0
0, 0.06501, 618.886, 180, 0, 0
0, 0.06501, 618.886, 180, 0, 0
0, 0.06601, 618.886, -180, 0, 0
0, 0.06601, 618.886, -180, 0, 0
0, 0.06701, 618.886, 180, 0, 0
0, 0.06701, 618.886, 180, 0, 0
0, 0.06801, 618.89, 180, 0, 0
0, 0.06801, 618.89, 180, 0, 0
0, 0.06901, 618.885, 180, 0, 0
0, 0.06901, 618.885, 180, 0, 0
0, 0.07001, 618.886, -180, 0, 0
0, 0.07001, 618.886, -180, 0, 0
0, 0.07101, 618.886, 180, 0, 0
0, 0.07101, 618.886, 180, 0, 0
0, 0.07201, 618.89, 180, 0, 0
0, 0.07201, 618.89, 180, 0, 0
0, 0.07301, 618.885, 180, 0, 0
0, 0.07301, 618.885, 180, 0, 0
0, 0.07401, 618.886, -180, 0, 0
0, 0.07401, 618.886, -180, 0, 0
0, 0.07501, 618.886, 180, 0, 0
0, 0.07501, 618.886, 180, 0, 0
0, 0.07601, 618.89, 180, 0, 0
0, 0.07601, 618.89, 180, 0, 0
0, 0.07701, 618.885, 180, 0, 0
0, 0.07701, 618.885, 180, 0, 0
0, 0.07801, 618.886, -180, 0, 0
0, 0.07801, 618.886, -180, 0, 0
0, 0.07901, 618.886, 180, 0, 0
0, 0.07901, 618.886, 180, 0, 0
0, 0.08001, 618.891, 180, 0, 0
0, 0.08001, 618.891, 180, 0, 0
0, 0.08101, 618.885, 180, 0, 0
0, 0.08101, 618.885, 180, 0, 0
0, 0.08201, 618.886, -180, 0, 0
0, 0.08201, 618.886, -180, 0, 0
0, 0.08301, 618.886, 180, 0, 0
0, 0.08301, 618.886, 180, 0, 0
0, 0.08401, 618.891, 180, 0, 0
0, 0.08401, 618.891, 180, 0, 0
0, 0.08501, 618.885, 180, 0, 0
0, 0.08501, 618.885, 180, 0, 0
0, 0.08601, 618.886, -180, 0, 0
0, 0.08601, 618.886, -180, 0, 0
0, 0.08701, 618.886, 180, 0, 0
0, 0.08701, 618.886, 180, 0, 0
0, 0.08801, 618.891, 180, 0, 0
0, 0.08801, 618.891, 180, 0, 0
0, 0.08901, 618.885, 180, 0, 0
0, 0.08901, 618.885, 180, 0, 0
0, 0.09001, 618.886, -180, 0, 0
0, 0.09001, 618.886, -180, 0, 0
0, 0.09101, 618.886, 180, 0, 0
0, 0.09101, 618.886, 180, 0, 0
0, 0.09201, 618.891, 180, 0, 0
0, 0.09201, 618.891, 180, 0, 0
0, 0.09301, 618.885, 180, 0, 0
0, 0.09301, 618.885, 180, 0, 0
0, 0.09401, 618.886, -180, 0, 0
0, 0.09401, 618.886, -180, 0, 0
0, 0.09501, 618.886, 180, 0, 0
0, 0.09501, 618.886, 180, 0, 0
0, 0.09601, 618.89, 180, 0, 0
0, 0.09601, 618.89, 180, 0, 0
0, 0.09701, 618.885, 180, 0, 0
0, 0.09701, 618.885, 180, 0, 0
0, 0.09801, 618.886, -180, 0, 0
0, 0.09801, 618.886, -180, 0, 0
0, 0.09901, 618.886, 180, 0, 0
0, 0.09901, 618.886, 180, 0, 0
0, 0.10001, 618.89, 180, 0, 0
0, 0.10001, 618.89, 180, 0, 0
0, 0.10101, 618.886, 180, 0, 0
0, 0.10101, 618.886, 180, 0, 0
0, 0.10201, 618.886, -180, 0, 0
0, 0.10201, 618.886, -180, 0, 0
0, 0.10301, 618.886, 180, 0, 0
0, 0.10301, 618.886, 180, 0, 0
0, 0.10401, 618.889, 180, 0, 0
0, 0.10401, 618.889, 180, 0, 0
0, 0.10501, 618.886, 180, 0, 0
0, 0.10501, 618.886, 180, 0, 0
0, 0.10601, 618.886, -180, 0, 0
0, 0.10601, 618.886, -180, 0, 0
0, 0.10701, 618.886, 180, 0, 0
0, 0.10701, 618.886, 180, 0, 0
0, 0.10801, 618.889, 180, 0, 0
0, 0.10801, 618.889, 180, 0, 0
0, 0.10901, 618.886, 180, 0, 0
0, 0.10901, 618.886, 180, 0, 0
0, 0.11001, 618.886, -180, 0, 0
0, 0.11001, 618.886, -180, 0, 0
0, 0.11000, 618.886, 180, 0, 0
0, 0.11000, 618.886, 180, 0, 0
0, 0.11101, 618.886, -180, 0, 0
0, 0.11101, 618.886, -180, 0, 0
0, 0.11201, 618.889, 180, 0, 0
0, 0.11201, 618.889, 180, 0, 0
0, 0.11301, 618.886, 180, 0, 0
0, 0.11301, 618.886, 180, 0, 0
0, 0.11401, 618.886, -180, 0, 0
0, 0.11401, 618.886, -180, 0, 0
0, 0.11501, 618.886, 180, 0, 0
0, 0.11501, 618.886, 180, 0, 0
0, 0.11601, 618.889, 180, 0, 0
0, 0.11601, 618.889, 180, 0, 0
0, 0.11701, 618.886, 180, 0, 0
0, 0.11701, 618.886, 180, 0, 0
0, 0.11801, 618.886, -180, 0, 0
0, 0.11801, 618.886, -180, 0, 0
0, 0.11901, 618.886, 180, 0, 0
0, 0.11901, 618.886, 180, 0, 0
0, 0.12001, 618.888, 180, 0, 0
