hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, VN, VNAngle, I1, IAngle1, I2, IAngle2, I3, IAngle3, IN, INAngle
0, 1.00000, 2528.66, 33.1768, 2396.25, -80.8965, 2334.55, 154.837, 382.711, 1.54269, 7.85352, -177.288, 31.7782, 69.172, 57.9739, -55.3275, 40.7944, -26.7299
0, 0.00000, 2522.32, 33.0808, 2391.32, -81.054, 2328.21, 154.696, 380.627, 1.45217, 7.83386, -177.385, 31.8497, 69.0145, 58.1174, -55.4695, 40.9417, -26.8613
0, 0.00000, 2522.32, 33.0808, 2391.32, -81.054, 2328.21, 154.696, 380.627, 1.45217, 7.83386, -177.385, 31.8497, 69.0145, 58.1174, -55.4695, 40.9417, -26.8613
0, 0.00101, 2522.24, 33.0799, 2391.39, -81.0567, 2328.21, 154.699, 380.413, 1.41063, 7.83356, -177.386, 31.8465, 69.0118, 58.1255, -55.4662, 40.9524, -26.8666
0, 0.00101, 2522.24, 33.0799, 2391.39, -81.0567, 2328.21, 154.699, 380.413, 1.41063, 7.83356, -177.386, 31.8465, 69.0118, 58.1255, -55.4662, 40.9524, -26.8666
0, 0.00201, 2522.25, 33.0803, 2391.37, -81.0563, 2328.21, 154.698, 380.434, 1.42084, 7.83362, -177.385, 31.8469, 69.0122, 58.124, -55.4669, 40.9506, -26.866
0, 0.00201, 2522.25, 33.0803, 2391.37, -81.0563, 2328.21, 154.698, 380.434, 1.42084, 7.83362, -177.385, 31.8469, 69.0122, 58.124, -55.4669, 40.9506, -26.866
0, 0.00301, 2522.25, 33.0802, 2391.37, -81.0563, 2328.21, 154.698, 380.434, 1.41867, 7.83361, -177.385, 31.8469, 69.0121, 58.1242, -55.4668, 40.9509, -26.866
0, 0.00301, 2522.25, 33.0802, 2391.37, -81.0563, 2328.21, 154.698, 380.434, 1.41867, 7.83361, -177.385, 31.8469, 69.0121, 58.1242, -55.4668, 40.9509, -26.866
0, 0.00401, 2522.23, 33.0798, 2391.36, -81.057, 2328.19, 154.698, 380.42, 1.4182, 7.83353, -177.386, 31.847, 69.0115, 58.1248, -55.4672, 40.9515, -26.8666
0, 0.00401, 2522.23, 33.0798, 2391.36, -81.057, 2328.19, 154.698, 380.42, 1.4182, 7.83353, -177.386, 31.847, 69.0115, 58.1248, -55.4672, 40.9515, -26.8666
0, 0.00501, 2522.23, 33.0798, 2391.36, -81.0569, 2328.19, 154.698, 380.425, 1.41861, 7.83354, -177.386, 31.8471, 69.0116, 58.1248, -55.4673, 40.9514, -26.8665
0, 0.00501, 2522.23, 33.0798, 2391.36, -81.0569, 2328.19, 154.698, 380.425, 1.41861, 7.83354, -177.386, 31.8471, 69.0116, 58.1248, -55.4673, 40.9514, -26.8665
0, 0.00601, 2522.23, 33.0798, 2391.36, -81.0569, 2328.19, 154.698, 380.424, 1.41846, 7.83353, -177.386, 31.8471, 69.0116, 58.1248, -55.4673, 40.9514, -26.8666
0, 0.00601, 2522.23, 33.0798, 2391.36, -81.0569, 2328.19, 154.698, 380.424, 1.41846, 7.83353, -177.386, 31.8471, 69.0116, 58.1248, -55.4673, 40.9514, -26.8666
