hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar),No Load Scheduling,t(sec),t(sec)
0,9.07082,-1875.59,-993.359,-1889.89,-1155.69,-1742.12,-1086.99,5507.6,15.24745,4.949
0,9.07222,-1875.3,-992.25,-1889.74,-1155.54,-1741.07,-1086.48,5506.11,15.24885,4.977
0,9.07238,-1876.38,-993.163,-1889.94,-1156.09,-1742.04,-1086.45,5508.36,15.24901,4.9802
0,9.07457,-1868.91,-985.688,-1882.65,-1149.57,-1733.82,-1079.61,5485.38,15.2512,5.024
0,9.07844,-1879.34,-994.056,-1893.19,-1158.93,-1743.45,-1088.57,5515.98,15.25507,5.1014
0,9.07891,-1876.81,-990.999,-1890.86,-1156.79,-1740.22,-1086.15,5507.89,15.25554,5.1108
0,9.0791,-1873.12,-987.699,-1886.33,-1153.11,-1736.44,-1081.92,5495.89,15.25573,5.1146
0,9.08015,-1866.42,-980.881,-1879.76,-1147.28,-1728.95,-1075.72,5475.13,15.25678,5.1356
0,9.08062,-1875.4,-987.958,-1888.86,-1155.34,-1737.14,-1083.39,5501.4,15.25725,5.145
0,9.08077,-1868.71,-981.198,-1882.36,-1149.52,-1729.73,-1077.27,5480.8,15.2574,5.148
0,9.0809,-1872.85,-983.98,-1886.6,-1153.28,-1733.07,-1080.63,5492.52,15.25753,5.1506
0,9.08092,-1875.01,-985.058,-1888.94,-1155.31,-1734.5,-1082.33,5498.45,15.25755,5.151
0,9.08619,-1870.63,-981.182,-1883.76,-1151.03,-1730.07,-1077.56,5484.46,15.26282,5.2564
0,9.06844,-1871.22,-981.635,-1883.42,-1151.14,-1730.49,-1077.03,5485.13,15.24507,4.9014
0,9.09582,-1876.84,-985.723,-1889.11,-1156.21,-1735.3,-1081.68,5501.25,15.27245,5.449
0,9.096,-1866.87,-976.089,-1879.4,-1147.5,-1724.65,-1072.73,5470.92,15.27263,5.4526
0,9.09716,-1872.81,-980.455,-1885.42,-1152.86,-1729.78,-1077.67,5488.01,15.27379,5.4758
0,9.09917,-1865.2,-972.908,-1878.05,-1146.24,-1721.48,-1070.8,5464.73,15.2758,5.516
0,9.09933,-1871.96,-978.026,-1884.95,-1152.34,-1727.46,-1076.52,5484.37,15.27596,5.5192
0,9.1001,-1873.1,-978.196,-1886.24,-1153.45,-1727.86,-1077.29,5487.2,15.27673,5.5346
0,9.08005,-1866.9,-972.683,-1879.2,-1147.56,-1721.57,-1070.86,5467.67,15.25668,5.1336
0,9.09987,-1871.75,-976.902,-1883.11,-1151.44,-1726.25,-1074.1,5481.11,15.2765,5.53
0,9.10105,-1870.17,-974.688,-1881.72,-1150.15,-1723.96,-1072.51,5475.85,15.27768,5.5536
0,9.10117,-1863.16,-967.641,-1874.9,-1144.07,-1716.21,-1066.11,5454.27,15.2778,5.556
0,9.1014,-1874.77,-977.022,-1886.61,-1154.43,-1727.01,-1076.07,5488.39,15.27803,5.5606
0,9.10565,-1874.7,-976.955,-1885.69,-1153.97,-1726.86,-1075.07,5487.25,15.28228,5.6456
0,9.10851,-1869.14,-971.217,-1880.32,-1149.16,-1720.59,-1069.96,5470.05,15.28514,5.7028
0,9.1106,-1865.02,-967.531,-1875.34,-1145.11,-1716.35,-1065.35,5456.71,15.28723,5.7446
0,9.1143,-1876.81,-977.054,-1887.19,-1155.64,-1727.3,-1075.43,5491.3,15.29093,5.8186
0,9.11487,-1876.13,-975.64,-1886.69,-1155.15,-1725.92,-1074.63,5488.74,15.2915,5.83
0,9.11514,-1869.42,-968.868,-1880.19,-1149.33,-1718.49,-1068.52,5468.1,15.29177,5.8354
0,9.11754,-1866.22,-965.204,-1877.16,-1146.61,-1714.55,-1065.47,5457.93,15.29417,5.8834
0,9.12619,-1874.78,-972.688,-1884.78,-1153.76,-1722.93,-1071.98,5482.49,15.30282,6.0564
0,9.12963,-1863.58,-961.984,-1873.8,-1143.98,-1711.05,-1061.93,5448.43,15.30626,6.1252
0,9.14453,-1867.32,-964.409,-1877.64,-1147.38,-1713.99,-1064.93,5458.95,15.32116,6.4232
0,9.14466,-1864.65,-961.25,-1875.2,-1145.14,-1710.63,-1062.43,5450.48,15.32129,6.4258
0,9.1448,-1874.35,-968.939,-1885.01,-1153.83,-1719.53,-1070.71,5478.89,15.32143,6.4286
0,9.15124,-1865.88,-960.657,-1876.77,-1146.46,-1710.38,-1063.08,5453.03,15.32787,6.5574
0,9.15223,-1862.34,-957.515,-1872.39,-1142.93,-1706.76,-1059.01,5441.49,15.32886,6.5772
0,9.15195,-1869.59,-963.025,-1879.72,-1149.43,-1713.19,-1065.1,5462.5,15.32858,6.5716
0,9.15252,-1873.74,-965.84,-1883.99,-1153.2,-1716.57,-1068.49,5474.3,15.32915,6.583
0,9.16561,-1873.8,-965.071,-1884.24,-1153.37,-1715.92,-1068.36,5473.96,15.34224,6.8448
0,9.17156,-1866.61,-958.694,-1876.21,-1146.61,-1708.64,-1061.07,5451.46,15.34819,6.9638
0,9.17142,-1868.08,-959.135,-1877.81,-1148.01,-1709.34,-1062.1,5455.23,15.34805,6.961
0,9.17965,-1864.21,-954.92,-1874.16,-1144.72,-1704.78,-1058.54,5443.15,15.35628,7.1256
0,9.18094,-1870,-959.133,-1880.02,-1149.93,-1709.75,-1063.31,5459.77,15.35757,7.1514
0,9.18265,-1871.56,-960.497,-1880.76,-1150.91,-1711.22,-1063.76,5463.54,15.35928,7.1856
0,9.18933,-1871.64,-959.73,-1880.98,-1151.09,-1710.56,-1063.6,5463.18,15.36596,7.3192
