hour, t(sec), S1 (kVA), Ang1, S2 (kVA), Ang2
0, 0.07301, 546, 180, 0, 0
0, 0.07401, 546, -180, 0, 0
0, 0.07401, 546, -180, 0, 0
0, 0.07501, 546, -180, 0, 0
0, 0.07501, 546, -180, 0, 0
0, 0.07601, 546, 180, 0, 0
0, 0.07601, 546, 180, 0, 0
0, 0.07701, 546, -180, 0, 0
0, 0.07701, 546, -180, 0, 0
0, 0.07801, 546, 180, 0, 0
0, 0.07801, 546, 180, 0, 0
0, 0.07901, 546, -180, 0, 0
0, 0.07901, 546, -180, 0, 0
0, 0.08001, 546.001, 180, 0, 0
0, 0.08001, 546.001, 180, 0, 0
0, 0.08101, 546, -180, 0, 0
0, 0.08101, 546, -180, 0, 0
0, 0.08201, 546, 180, 0, 0
0, 0.08201, 546, 180, 0, 0
0, 0.08301, 546, 180, 0, 0
0, 0.08301, 546, 180, 0, 0
0, 0.08401, 546, -180, 0, 0
0, 0.08401, 546, -180, 0, 0
0, 0.08501, 546, 180, 0, 0
0, 0.08501, 546, 180, 0, 0
0, 0.08601, 546, -180, 0, 0
0, 0.08601, 546, -180, 0, 0
0, 0.08701, 546, 180, 0, 0
0, 0.08701, 546, 180, 0, 0
0, 0.08801, 546.002, 180, 0, 0
0, 0.08801, 546.002, 180, 0, 0
0, 0.08901, 546, -180, 0, 0
0, 0.08901, 546, -180, 0, 0
0, 0.09001, 546, 180, 0, 0
0, 0.09001, 546, 180, 0, 0
0, 0.09101, 546, 180, 0, 0
0, 0.09101, 546, 180, 0, 0
0, 0.09201, 546, -180, 0, 0
0, 0.09201, 546, -180, 0, 0
0, 0.09301, 546, 180, 0, 0
0, 0.09301, 546, 180, 0, 0
0, 0.09401, 546, -180, 0, 0
0, 0.09401, 546, -180, 0, 0
0, 0.09501, 546, 180, 0, 0
0, 0.09501, 546, 180, 0, 0
0, 0.09601, 546.002, 180, 0, 0
0, 0.09601, 546.002, 180, 0, 0
0, 0.09701, 546, -180, 0, 0
0, 0.09701, 546, -180, 0, 0
0, 0.09801, 546, 180, 0, 0
0, 0.09801, 546, 180, 0, 0
0, 0.09901, 546, 180, 0, 0
0, 0.09901, 546, 180, 0, 0
0, 0.10001, 546, -180, 0, 0
0, 0.10001, 546, -180, 0, 0
0, 0.10101, 546, 180, 0, 0
0, 0.10101, 546, 180, 0, 0
0, 0.10201, 546, -180, 0, 0
0, 0.10201, 546, -180, 0, 0
0, 0.10301, 546, 180, 0, 0
0, 0.10301, 546, 180, 0, 0
0, 0.10401, 546.003, 180, 0, 0
0, 0.10401, 546.003, 180, 0, 0
0, 0.10501, 546, -180, 0, 0
0, 0.10501, 546, -180, 0, 0
0, 0.10601, 546, 180, 0, 0
0, 0.10601, 546, 180, 0, 0
0, 0.10701, 546, 180, 0, 0
