hour, t(sec), V1, VAngle1, VN, VNAngle, I1, IAngle1, IN, INAngle
0, 1.00000, 2516.77, 33.0217, 2516.77, 33.0217, 67.3794, 179.126, 67.3794, 179.126
0, 0.00000, 2530.63, 33.2295, 2530.63, 33.2295, 67.7503, 179.333, 67.7503, 179.333
0, 0.00000, 2530.63, 33.2295, 2530.63, 33.2295, 67.7503, 179.333, 67.7503, 179.333
0, 0.00101, 2530.69, 33.2255, 2530.69, 33.2255, 67.7521, 179.329, 67.7521, 179.329
0, 0.00101, 2530.69, 33.2255, 2530.69, 33.2255, 67.7521, 179.329, 67.7521, 179.329
0, 0.00201, 2530.67, 33.2261, 2530.67, 33.2261, 67.7515, 179.33, 67.7515, 179.33
0, 0.00201, 2530.67, 33.2261, 2530.67, 33.2261, 67.7515, 179.33, 67.7515, 179.33
0, 0.00301, 2530.68, 33.226, 2530.68, 33.226, 67.7516, 179.33, 67.7516, 179.33
0, 0.00301, 2530.68, 33.226, 2530.68, 33.226, 67.7516, 179.33, 67.7516, 179.33
0, 0.00401, 2530.67, 33.226, 2530.67, 33.226, 67.7516, 179.33, 67.7516, 179.33
0, 0.00401, 2530.67, 33.226, 2530.67, 33.226, 67.7516, 179.33, 67.7516, 179.33
0, 0.00501, 2530.67, 33.226, 2530.67, 33.226, 67.7516, 179.33, 67.7516, 179.33
0, 0.00501, 2530.67, 33.226, 2530.67, 33.226, 67.7516, 179.33, 67.7516, 179.33
0, 0.00601, 2530.67, 33.226, 2530.67, 33.226, 67.7516, 179.33, 67.7516, 179.33
0, 0.00601, 2530.67, 33.226, 2530.67, 33.226, 67.7516, 179.33, 67.7516, 179.33
0, 0.00701, 2530.67, 33.226, 2530.67, 33.226, 67.7516, 179.33, 67.7516, 179.33
0, 0.00701, 2530.67, 33.226, 2530.67, 33.226, 67.7516, 179.33, 67.7516, 179.33
0, 0.00801, 2530.63, 33.2255, 2530.63, 33.2255, 67.7506, 179.329, 67.7506, 179.329
0, 0.00801, 2530.63, 33.2255, 2530.63, 33.2255, 67.7506, 179.329, 67.7506, 179.329
0, 0.00901, 2530.64, 33.2255, 2530.64, 33.2255, 67.7506, 179.329, 67.7506, 179.329
0, 0.00901, 2530.64, 33.2255, 2530.64, 33.2255, 67.7506, 179.329, 67.7506, 179.329
0, 0.01001, 2530.64, 33.2255, 2530.64, 33.2255, 67.7506, 179.329, 67.7506, 179.329
0, 0.01001, 2530.64, 33.2255, 2530.64, 33.2255, 67.7506, 179.329, 67.7506, 179.329
0, 0.01101, 2530.64, 33.2255, 2530.64, 33.2255, 67.7506, 179.329, 67.7506, 179.329
0, 0.01101, 2530.64, 33.2255, 2530.64, 33.2255, 67.7506, 179.329, 67.7506, 179.329
0, 0.01201, 2530.64, 33.2255, 2530.64, 33.2255, 67.7506, 179.329, 67.7506, 179.329
0, 0.01201, 2530.64, 33.2255, 2530.64, 33.2255, 67.7506, 179.329, 67.7506, 179.329
0, 0.01301, 2530.64, 33.2255, 2530.64, 33.2255, 67.7506, 179.329, 67.7506, 179.329
0, 0.01301, 2530.64, 33.2255, 2530.64, 33.2255, 67.7506, 179.329, 67.7506, 179.329
0, 0.01401, 2530.64, 33.2255, 2530.64, 33.2255, 67.7506, 179.329, 67.7506, 179.329
0, 0.01401, 2530.64, 33.2255, 2530.64, 33.2255, 67.7506, 179.329, 67.7506, 179.329
0, 0.01501, 2530.64, 33.2255, 2530.64, 33.2255, 67.7506, 179.329, 67.7506, 179.329
0, 0.01501, 2530.64, 33.2255, 2530.64, 33.2255, 67.7506, 179.329, 67.7506, 179.329
0, 0.01601, 2530.56, 33.2245, 2530.56, 33.2245, 67.7486, 179.328, 67.7486, 179.328
0, 0.01601, 2530.56, 33.2245, 2530.56, 33.2245, 67.7486, 179.328, 67.7486, 179.328
0, 0.01701, 2530.57, 33.2245, 2530.57, 33.2245, 67.7488, 179.328, 67.7488, 179.328
0, 0.01701, 2530.57, 33.2245, 2530.57, 33.2245, 67.7488, 179.328, 67.7488, 179.328
0, 0.01801, 2530.57, 33.2245, 2530.57, 33.2245, 67.7488, 179.328, 67.7488, 179.328
0, 0.01801, 2530.57, 33.2245, 2530.57, 33.2245, 67.7488, 179.328, 67.7488, 179.328
0, 0.01901, 2530.57, 33.2245, 2530.57, 33.2245, 67.7488, 179.328, 67.7488, 179.328
0, 0.01901, 2530.57, 33.2245, 2530.57, 33.2245, 67.7488, 179.328, 67.7488, 179.328
0, 0.02001, 2530.57, 33.2245, 2530.57, 33.2245, 67.7488, 179.328, 67.7488, 179.328
0, 0.02001, 2530.57, 33.2245, 2530.57, 33.2245, 67.7488, 179.328, 67.7488, 179.328
0, 0.02000, 2530.57, 33.2245, 2530.57, 33.2245, 67.7488, 179.328, 67.7488, 179.328
0, 0.02101, 2375.22, 28.4305, 2375.22, 28.4305, 63.5896, 174.534, 63.5896, 174.534
0, 0.02101, 2375.22, 28.4305, 2375.22, 28.4305, 63.5896, 174.534, 63.5896, 174.534
0, 0.02201, 2375.1, 28.4311, 2375.1, 28.4311, 63.5867, 174.535, 63.5867, 174.535
0, 0.02201, 2375.1, 28.4311, 2375.1, 28.4311, 63.5867, 174.535, 63.5867, 174.535
0, 0.02301, 2375.14, 28.4314, 2375.14, 28.4314, 63.5877, 174.535, 63.5877, 174.535
0, 0.02301, 2375.14, 28.4314, 2375.14, 28.4314, 63.5877, 174.535, 63.5877, 174.535
0, 0.02401, 2375.06, 28.4298, 2375.06, 28.4298, 63.5856, 174.534, 63.5856, 174.534
0, 0.02401, 2375.06, 28.4298, 2375.06, 28.4298, 63.5856, 174.534, 63.5856, 174.534
0, 0.02501, 2375.07, 28.43, 2375.07, 28.43, 63.5857, 174.534, 63.5857, 174.534
0, 0.02501, 2375.07, 28.43, 2375.07, 28.43, 63.5857, 174.534, 63.5857, 174.534
0, 0.02601, 2375.07, 28.4299, 2375.07, 28.4299, 63.5857, 174.534, 63.5857, 174.534
0, 0.02601, 2375.07, 28.4299, 2375.07, 28.4299, 63.5857, 174.534, 63.5857, 174.534
0, 0.02701, 2375.07, 28.43, 2375.07, 28.43, 63.5857, 174.534, 63.5857, 174.534
0, 0.02701, 2375.07, 28.43, 2375.07, 28.43, 63.5857, 174.534, 63.5857, 174.534
0, 0.02801, 2375.07, 28.4299, 2375.07, 28.4299, 63.5857, 174.534, 63.5857, 174.534
0, 0.02801, 2375.07, 28.4299, 2375.07, 28.4299, 63.5857, 174.534, 63.5857, 174.534
0, 0.02901, 2375.07, 28.43, 2375.07, 28.43, 63.5857, 174.534, 63.5857, 174.534
0, 0.02901, 2375.07, 28.43, 2375.07, 28.43, 63.5857, 174.534, 63.5857, 174.534
0, 0.03001, 2375.07, 28.43, 2375.07, 28.43, 63.5857, 174.534, 63.5857, 174.534
0, 0.03001, 2375.07, 28.43, 2375.07, 28.43, 63.5857, 174.534, 63.5857, 174.534
0, 0.03101, 2375.07, 28.43, 2375.07, 28.43, 63.5857, 174.534, 63.5857, 174.534
0, 0.03101, 2375.07, 28.43, 2375.07, 28.43, 63.5857, 174.534, 63.5857, 174.534
0, 0.03201, 2375.02, 28.429, 2375.02, 28.429, 63.5843, 174.533, 63.5843, 174.533
0, 0.03201, 2375.02, 28.429, 2375.02, 28.429, 63.5843, 174.533, 63.5843, 174.533
0, 0.03301, 2375.02, 28.429, 2375.02, 28.429, 63.5844, 174.533, 63.5844, 174.533
0, 0.03301, 2375.02, 28.429, 2375.02, 28.429, 63.5844, 174.533, 63.5844, 174.533
0, 0.03401, 2375.02, 28.429, 2375.02, 28.429, 63.5844, 174.533, 63.5844, 174.533
0, 0.03401, 2375.02, 28.429, 2375.02, 28.429, 63.5844, 174.533, 63.5844, 174.533
0, 0.03501, 2375.02, 28.429, 2375.02, 28.429, 63.5844, 174.533, 63.5844, 174.533
