hour, t(sec), S1 (kVA), Ang1, S2 (kVA), Ang2
0, 1.00000, 1999.85, 179.995, 0, 0
0, 0.00000, 1999.82, -179.996, 0, 0
0, 0.00000, 1999.82, -179.996, 0, 0
0, 0.00101, 2000.04, 180, 0, 0
0, 0.00101, 2000.04, 180, 0, 0
0, 0.00201, 1999.99, 180, 0, 0
0, 0.00201, 1999.99, 180, 0, 0
0, 0.00301, 2000, -180, 0, 0
0, 0.00301, 2000, -180, 0, 0
0, 0.00401, 2000, 180, 0, 0
0, 0.00401, 2000, 180, 0, 0
0, 0.00501, 2000, -180, 0, 0
0, 0.00501, 2000, -180, 0, 0
0, 0.00601, 2000, 180, 0, 0
0, 0.00601, 2000, 180, 0, 0
0, 0.00701, 2000, -180, 0, 0
0, 0.00701, 2000, -180, 0, 0
0, 0.00801, 2000, -180, 0, 0
0, 0.00801, 2000, -180, 0, 0
0, 0.00901, 2000, -180, 0, 0
0, 0.00901, 2000, -180, 0, 0
0, 0.01001, 2000, 180, 0, 0
0, 0.01001, 2000, 180, 0, 0
0, 0.01101, 2000, -180, 0, 0
0, 0.01101, 2000, -180, 0, 0
0, 0.01201, 2000, 180, 0, 0
0, 0.01201, 2000, 180, 0, 0
0, 0.01301, 2000, -180, 0, 0
0, 0.01301, 2000, -180, 0, 0
0, 0.01401, 2000, 180, 0, 0
0, 0.01401, 2000, 180, 0, 0
0, 0.01501, 2000, 180, 0, 0
0, 0.01501, 2000, 180, 0, 0
0, 0.01601, 2000, -180, 0, 0
0, 0.01601, 2000, -180, 0, 0
0, 0.01701, 2000, -180, 0, 0
0, 0.01701, 2000, -180, 0, 0
0, 0.01801, 2000, 180, 0, 0
0, 0.01801, 2000, 180, 0, 0
0, 0.01901, 2000, -180, 0, 0
0, 0.01901, 2000, -180, 0, 0
0, 0.02001, 2000, 180, 0, 0
0, 0.02001, 2000, 180, 0, 0
0, 0.02000, 2000, -180, 0, 0
0, 0.02101, 293.019, -179.998, 0, 0
0, 0.02101, 293.019, -179.998, 0, 0
0, 0.02201, 292.996, 179.999, 0, 0
0, 0.02201, 292.996, 179.999, 0, 0
0, 0.02301, 293, -179.999, 0, 0
0, 0.02301, 293, -179.999, 0, 0
0, 0.02401, 292.999, 180, 0, 0
0, 0.02401, 292.999, 180, 0, 0
0, 0.02501, 293, -180, 0, 0
0, 0.02501, 293, -180, 0, 0
0, 0.02601, 293, 180, 0, 0
0, 0.02601, 293, 180, 0, 0
0, 0.02701, 293, -180, 0, 0
0, 0.02701, 293, -180, 0, 0
0, 0.02801, 293, -180, 0, 0
0, 0.02801, 293, -180, 0, 0
0, 0.02901, 293, 180, 0, 0
0, 0.02901, 293, 180, 0, 0
0, 0.03001, 293, -180, 0, 0
0, 0.03001, 293, -180, 0, 0
0, 0.03101, 293, 180, 0, 0
0, 0.03101, 293, 180, 0, 0
0, 0.03201, 292.999, -180, 0, 0
0, 0.03201, 292.999, -180, 0, 0
0, 0.03301, 293, -180, 0, 0
0, 0.03301, 293, -180, 0, 0
0, 0.03401, 293, 180, 0, 0
0, 0.03401, 293, 180, 0, 0
0, 0.03501, 293, -180, 0, 0
0, 0.03501, 293, -180, 0, 0
0, 0.03601, 293, 180, 0, 0
0, 0.03601, 293, 180, 0, 0
0, 0.03701, 293, 180, 0, 0
0, 0.03701, 293, 180, 0, 0
0, 0.03801, 293, -180, 0, 0
0, 0.03801, 293, -180, 0, 0
0, 0.03901, 293, 180, 0, 0
0, 0.03901, 293, 180, 0, 0
0, 0.04001, 292.999, -180, 0, 0
0, 0.04001, 292.999, -180, 0, 0
0, 0.04101, 293, -180, 0, 0
0, 0.04101, 293, -180, 0, 0
0, 0.04201, 293, 180, 0, 0
0, 0.04201, 293, 180, 0, 0
0, 0.04301, 293, -180, 0, 0
0, 0.04301, 293, -180, 0, 0
0, 0.04401, 293, 180, 0, 0
0, 0.04401, 293, 180, 0, 0
0, 0.04501, 293, 180, 0, 0
0, 0.04501, 293, 180, 0, 0
0, 0.04601, 293, -180, 0, 0
0, 0.04601, 293, -180, 0, 0
0, 0.04701, 293, 180, 0, 0
